,timestamp_start,timestamp_end,qSQI_score,cSQI_score,sSQI_score,kSQI_score,pSQI_score,basSQI_score,annot_2,annot_3,record,consensus
85,2020-12-18 13:02:50.000000000,2020-12-18 13:02:52.000000000,1.0,0.464,1.906,7.501,0.506,0.971,1,1,emg6+emg6- 77,1
86,2020-12-18 13:02:52.000000000,2020-12-18 13:02:54.000000000,0.8,0.854,1.268,5.372,0.479,0.955,1,1,emg6+emg6- 77,1
87,2020-12-18 13:02:54.000000000,2020-12-18 13:02:56.000000000,0.8,0.719,1.645,7.082,0.471,0.988,1,1,emg6+emg6- 77,1
88,2020-12-18 13:02:56.000000000,2020-12-18 13:02:58.000000000,0.667,0.603,1.644,7.313,0.479,0.968,1,1,emg6+emg6- 77,1
89,2020-12-18 13:02:58.000000000,2020-12-18 13:03:00.000000000,0.5,0.528,1.904,8.128,0.489,0.984,1,1,emg6+emg6- 77,1
90,2020-12-18 13:03:00.000000000,2020-12-18 13:03:02.000000000,0.8,0.917,1.119,5.019,0.505,0.938,1,1,emg6+emg6- 77,1
91,2020-12-18 13:03:02.000000000,2020-12-18 13:03:04.000000000,0.8,0.838,1.619,5.959,0.486,0.956,1,1,emg6+emg6- 77,1
92,2020-12-18 13:03:04.000000000,2020-12-18 13:03:06.000000000,0.8,0.766,1.479,6.434,0.529,0.966,1,1,emg6+emg6- 77,1
93,2020-12-18 13:03:06.000000000,2020-12-18 13:03:08.000000000,0.8,0.712,1.351,5.5,0.448,0.955,1,1,emg6+emg6- 77,1
94,2020-12-18 13:03:08.000000000,2020-12-18 13:03:10.000000000,1.0,0.692,1.864,7.303,0.457,0.986,1,1,emg6+emg6- 77,1
95,2020-12-18 13:03:10.000000000,2020-12-18 13:03:12.000000000,1.0,0.672,1.338,6.582,0.481,0.95,1,1,emg6+emg6- 77,1
96,2020-12-18 13:03:12.000000000,2020-12-18 13:03:14.000000000,0.8,0.741,1.39,5.669,0.493,0.947,1,1,emg6+emg6- 77,1
97,2020-12-18 13:03:14.000000000,2020-12-18 13:03:16.000000000,0.8,0.829,1.687,6.786,0.488,0.974,1,1,emg6+emg6- 77,1
98,2020-12-18 13:03:16.000000000,2020-12-18 13:03:18.000000000,0.8,0.852,1.408,6.29,0.436,0.956,1,1,emg6+emg6- 77,1
99,2020-12-18 13:03:18.000000000,2020-12-18 13:03:20.000000000,0.8,0.838,1.653,6.511,0.422,0.991,1,1,emg6+emg6- 77,1
100,2020-12-18 13:03:20.000000000,2020-12-18 13:03:22.000000000,0.8,0.82,1.327,6.238,0.512,0.961,1,1,emg6+emg6- 77,1
101,2020-12-18 13:03:22.000000000,2020-12-18 13:03:24.000000000,0.8,0.853,1.374,5.727,0.433,0.959,1,1,emg6+emg6- 77,1
102,2020-12-18 13:03:24.000000000,2020-12-18 13:03:26.000000000,0.8,0.852,1.391,6.337,0.52,0.976,1,1,emg6+emg6- 77,1
103,2020-12-18 13:03:26.000000000,2020-12-18 13:03:28.000000000,0.8,0.786,1.255,5.394,0.473,0.94,1,1,emg6+emg6- 77,1
104,2020-12-18 13:03:28.000000000,2020-12-18 13:03:30.000000000,0.8,0.821,1.722,7.606,0.442,0.986,1,1,emg6+emg6- 77,1
105,2020-12-18 13:03:30.000000000,2020-12-18 13:03:32.000000000,0.8,0.781,1.131,5.787,0.448,0.939,1,1,emg6+emg6- 77,1
106,2020-12-18 13:03:32.000000000,2020-12-18 13:03:34.000000000,0.8,0.777,1.535,5.79,0.437,0.948,1,1,emg6+emg6- 77,1
107,2020-12-18 13:03:34.000000000,2020-12-18 13:03:36.000000000,0.8,0.783,1.617,6.976,0.454,0.983,1,1,emg6+emg6- 77,1
108,2020-12-18 13:03:36.000000000,2020-12-18 13:03:38.000000000,0.8,0.731,1.165,4.631,0.496,0.951,1,1,emg6+emg6- 77,1
109,2020-12-18 13:03:38.000000000,2020-12-18 13:03:40.000000000,1.0,0.682,1.772,6.284,0.485,0.99,1,1,emg6+emg6- 77,1
110,2020-12-18 13:03:40.000000000,2020-12-18 13:03:42.000000000,1.0,0.655,1.244,5.606,0.432,0.954,1,1,emg6+emg6- 77,1
111,2020-12-18 13:03:42.000000000,2020-12-18 13:03:44.000000000,1.0,0.671,1.33,5.86,0.441,0.965,1,1,emg6+emg6- 77,1
112,2020-12-18 13:03:44.000000000,2020-12-18 13:03:46.000000000,1.0,0.658,1.67,6.637,0.47,0.978,1,1,emg6+emg6- 77,1
